CUSTOMER_NUMBER,COMPANY_NAME,PRIMARY_INDUSTRY,REVENUES (IN MILLIONS DOLLAR),CATEGORY,Account_number
959123024,Koppers Holdings Inc,Chemicals,2196,CAT-F,38685599
959123025,Whirlpool Corp,Electrical Equipment & Appliances,36507,CAT-B,38685600
959123026,Constellation Brands Inc,Beverages,42807,CAT-A,38685601
959123027,Scholastic Corp,Publishing & Printing,6093,CAT-E,38685602
959123028,Becton Dickinson & Co,Medical Instruments & Equipment,1927,CAT-F,38685603
959123029,Generac Holdings Inc,Machinery,24633,CAT-C,38685604
959123030,Park-Ohio Holdings Corp,Miscellaneous,32675,CAT-B,38685605
959123031,LSC Communications Inc,Publishing & Printing,42326,CAT-A,38685606
959123032,Hershey Co,Food,5946,CAT-E,38685607
959123033,Snyder's-Lance Inc,Food,9336,CAT-E,38685608
959123034,Hillenbrand Inc,Wood Products,42132,CAT-A,38685609
959123035,Tronox Ltd,Chemicals,40897,CAT-A,38685610
959123036,Harley-Davidson Inc,Motor Vehicles,48872,CAT-A,38685611
959123037,Axalta Coating Systems Ltd,Miscellaneous,40098,CAT-A,38685612
959123038,Westlake Chemical Corp,Chemicals,28377,CAT-C,38685613
959123039,Rockwell Collins Inc,Communications Equipment,35287,CAT-B,38685614
959123040,Park-Ohio Holdings Corp,Miscellaneous,32675,CAT-B,38685615
959123041,Axalta Coating Systems Ltd,Miscellaneous,40098,CAT-A,38685616
959123042,Briggs & Stratton Corp,Machinery,11044,CAT-D,38685617
959123043,Parker Hannifin Corp,Machinery,9286,CAT-E,38685618
959123044,Regal Beloit Corp,Machinery,36359,CAT-B,38685619
959123045,Lincoln Electric Holdings Inc,Machinery,34715,CAT-B,38685620
959123046,Ford Motor Co,Motor Vehicles,29960,CAT-C,38685621
959123047,PVH Corp,Apparel,20806,CAT-C,38685622
959123048,IDEX Corporation,Machinery,31018,CAT-B,38685623
959123049,Owens Corning,"Stone, Clay, Glass & Concrete Products",23323,CAT-C,38685624
959123050,Packaging Corp,of America Paper,26341,CAT-C,38685625
959123051,Reliance Steel & Aluminum Co,Primary Metals,43988,CAT-A,38685626
959123052,Dana Inc,Motor Vehicle Parts,49690,CAT-A,38685627
959123053,AbbVie Inc,Pharmaceuticals,21687,CAT-C,38685628
959123054,AptarGroup Inc,Plastics,31641,CAT-B,38685629
959123055,Weyerhaeuser Co,Wood Products,15545,CAT-D,38685630
959123056,Newfield Exploration Co,Petroleum & Coal Products,42560,CAT-A,38685631
959123057,J M Smucker Co,Food,38875,CAT-B,38685632
959123058,Du Pont & Co,Chemicals,39026,CAT-B,38685633
959123059,Griffon Corp,Fabricated Metal Products,18868,CAT-D,38685634
959123060,Stanley Black & Decker Inc,Fabricated Metal Products,48933,CAT-A,38685635
959123061,Chemtura Corp,Chemicals,45216,CAT-A,38685636
959123062,Kimberly-Clark Corp,Paper,3945,CAT-F,38685637
959123063,Textron Inc,Aerospace & Defense,22461,CAT-C,38685638
959123064,AptarGroup Inc,Plastics,31641,CAT-B,38685639
959123065,Calumet Specialty Products Partners LP,Petroleum & Coal Products,36934,CAT-B,38685640
959123066,Lamb Weston Holdings Inc,Food,17570,CAT-D,38685641
959123067,Lancaster Colony Corp,Food,14801,CAT-D,38685642
959123068,Briggs & Stratton Corp,Machinery,11044,CAT-D,38685643
959123069,Marathon Oil Corp,Petroleum & Coal Products,3967,CAT-F,38685644
959123070,Mohawk Industries Inc,Textiles,34096,CAT-B,38685645
959123071,Cubic Corp,Instruments,18148,CAT-D,38685646
959123072,Agilent Technologies Inc,Instruments,33048,CAT-B,38685647
959123073,Newell Rubbermaid Inc,Miscellaneous,30228,CAT-B,38685648
959123074,Sealed Air Corp,Plastics,46863,CAT-A,38685649
959123075,Brunswick Corp,Miscellaneous,47337,CAT-A,38685650
959123076,Qualcomm Inc,Communications Equipment,34336,CAT-B,38685651
959123077,Boston Scientific Corp,Medical Instruments & Equipment,7468,CAT-E,38685652
959123078,Fortinet Inc,Computers & Other Electronic Products,14188,CAT-D,38685653
959123079,Vishay Intertechnology Inc,Computers & Other Electronic Products,21911,CAT-C,38685654
959123080,VWR Corp,Medical Instruments & Equipment,38579,CAT-B,38685655
959123081,Microsemi Corp,Computers & Other Electronic Products,33512,CAT-B,38685656
959123082,Qorvo Inc,Computers & Other Electronic Products,9759,CAT-E,38685657
959123083,California Resources Corp,Petroleum & Coal Products,16826,CAT-D,38685658
959123084,Colgate-Palmolive Co,Chemicals,25896,CAT-C,38685659
959123085,Tegna Inc,Publishing & Printing,8134,CAT-E,38685660
959123086,Conagra Brands Inc,Food,8935,CAT-E,38685661
959123087,Metaldyne Performance Group Inc,Motor Vehicle Parts,34211,CAT-B,38685662
959123088,Seneca Foods Corp,Food,44484,CAT-A,38685663
959123089,RPM International Inc,Chemicals,35459,CAT-B,38685664
959123090,Platform Specialty Products Corp,Chemicals,23782,CAT-C,38685665
959123091,Fossil Group Inc,Apparel,1333,CAT-F,38685666
959123092,Roper Technologies Inc,Miscellaneous,33081,CAT-B,38685667
959123093,United Therapeutics Corp,Pharmaceuticals,31067,CAT-B,38685668
959123094,Terex Corp,Machinery,28441,CAT-C,38685669
959123095,Tyson Foods Inc,Food,1533,CAT-F,38685670
959123096,Roper Technologies Inc,Miscellaneous,33081,CAT-B,38685671
959123097,Veritiv Corp,Machinery,48771,CAT-A,38685672
959123098,M Co,Chemicals,44001,CAT-A,38685673
959123099,PBF Energy Inc,Petroleum & Coal Products,19883,CAT-D,38685674
959123100,SPX Corp,Machinery,9797,CAT-E,38685675
959123101,Alon USA Energy Inc,Petroleum & Coal Products,14251,CAT-D,38685676
959123102,Bristol-Myers Squibb Co,Pharmaceuticals,29273,CAT-C,38685677
959123103,Stanley Black & Decker Inc,Fabricated Metal Products,48933,CAT-A,38685678
959123104,Armstrong World Industries Inc,Rubber Products,16244,CAT-D,38685679
959123105,Varian Medical Systems Inc,Machinery,20359,CAT-C,38685680
959123106,KLA-Tencor Corp,Computers & Other Electronic Products,47518,CAT-A,38685681
959123107,Scholastic Corp,Publishing & Printing,6093,CAT-E,38685682
959123108,Kraton Performance Polymers Inc,Plastics,32296,CAT-B,38685683
959123109,Acuity Brands Inc,Electrical Equipment & Appliances,42025,CAT-A,38685684
959123110,Valvoline Inc,Petroleum & Coal Products,27051,CAT-C,38685685
959123111,Monsanto Co,Chemicals,14454,CAT-D,38685686
959123112,John Bean Technologies Corp,Electrical Equipment & Appliances,13793,CAT-D,38685687
959123113,Constellation Brands Inc,Beverages,42807,CAT-A,38685688
959123114,New York Times Co,Publishing & Printing,31269,CAT-B,38685689
959123115,Nike Inc,Apparel,23768,CAT-C,38685690
959123116,Minerals Technologies Inc,Chemicals,14187,CAT-D,38685691
959123117,EQT Corp,Petroleum & Coal Products,16499,CAT-D,38685692
959123118,IBM Corp,Computers & Other Electronic Products,43467,CAT-A,38685693
959123119,ResMed Inc,Medical Instruments & Equipment,2025,CAT-F,38685694
959123120,Curtiss-Wright Corp,Machinery,2793,CAT-F,38685695
959123121,Clearwater Paper Corp,Paper,9054,CAT-E,38685696
959123122,Orbital ATK Inc,Aerospace & Defense,20404,CAT-C,38685697
959123123,McCormick & Co Inc,Food,9812,CAT-E,38685698
959123124,Titan International Inc,Primary Metals,27241,CAT-C,38685699
959123125,Kellogg Co,Food,45792,CAT-A,38685700
959123126,Newell Rubbermaid Inc,Miscellaneous,30228,CAT-B,38685701
959123127,Fitbit Inc,Computers & Other Electronic Products,45929,CAT-A,38685702
959123128,Polaris Industries Inc,"Railcars, Ships, & Other Trans Equip",48247,CAT-A,38685703
959123129,Oracle Corp,Computers & Other Electronic Products,32695,CAT-B,38685704
959123130,Brunswick Corp,Miscellaneous,47337,CAT-A,38685705
959123131,QEP Resources Inc,Petroleum & Coal Products,23989,CAT-C,38685706
959123132,Concho Resources Inc,Petroleum & Coal Products,10973,CAT-D,38685707
959123133,RPM International Inc,Chemicals,35459,CAT-B,38685708
959123134,IDEX Corporation,Machinery,31018,CAT-B,38685709
959123135,Honeywell International Inc,Miscellaneous,1902,CAT-F,38685710
959123136,Amphenol Corp,Computers & Other Electronic Products,45176,CAT-A,38685711
959123137,Scotts Miracle-Gro Co,Chemicals,27185,CAT-C,38685712
959123138,DENTSPLY SIRONA Inc,Medical Instruments & Equipment,2189,CAT-F,38685713
959123139,Hasbro Inc,Miscellaneous,20844,CAT-C,38685714
959123140,Time Inc,Publishing & Printing,22885,CAT-C,38685715
959123141,Tesoro Corp,Petroleum & Coal Products,29074,CAT-C,38685716
959123142,Lam Research Corp,Computers & Other Electronic Products,44474,CAT-A,38685717
959123143,Cenveo Inc,Paper,6065,CAT-E,38685718
959123144,Atkore International Group Inc,Electrical Equipment & Appliances,41490,CAT-A,38685719
959123145,American Axle & Mfg Holdings Inc,Motor Vehicle Parts,26440,CAT-C,38685720
959123146,First Solar Inc,Electrical Equipment & Appliances,19695,CAT-D,38685721
959123147,EOG Resources Inc,Petroleum & Coal Products,18319,CAT-D,38685722
959123148,Universal Forest Products Inc,Wood Products,13500,CAT-D,38685723
959123149,Weyerhaeuser Co,Wood Products,15545,CAT-D,38685724
959123150,Oracle Corp,Computers & Other Electronic Products,32695,CAT-B,38685725
959123151,Harley-Davidson Inc,Motor Vehicles,48872,CAT-A,38685726
959123152,Devon Energy Corp,Petroleum & Coal Products,16445,CAT-D,38685727
959123153,M Co,Chemicals,44001,CAT-A,38685728
959123154,Cintas Corp,Apparel,19116,CAT-D,38685729
959123155,Navistar International Corp,Motor Vehicles,36588,CAT-B,38685730
959123156,H B Fuller Co,Chemicals,28424,CAT-C,38685731
959123157,Kaiser Aluminum Corp,Fabricated Metal Products,49918,CAT-A,38685732
959123158,Marathon Oil Corp,Petroleum & Coal Products,3967,CAT-F,38685733
959123159,Stryker Corp,Medical Instruments & Equipment,33648,CAT-B,38685734
959123160,Carlisle Cos Inc,Miscellaneous,30270,CAT-B,38685735
959123161,Platform Specialty Products Corp,Chemicals,23782,CAT-C,38685736
959123162,"SS&C Technologies Holdings, Inc",Publishing & Printing,1053,CAT-F,38685737
959123163,Woodward Governor Co,Electrical Equipment & Appliances,2610,CAT-F,38685738
959123164,Generac Holdings Inc,Machinery,24633,CAT-C,38685739
959123165,Green Plains Inc,Chemicals,5639,CAT-E,38685740
959123166,"U S Concrete, Inc","Stone, Clay, Glass & Concrete Products",19811,CAT-D,38685741
959123167,Drew Industries Inc,Motor Vehicle Parts,44372,CAT-A,38685742
959123168,La-Z-Boy Inc,Furniture & Fixtures,11041,CAT-D,38685743
959123169,EnerSys Inc,Electrical Equipment & Appliances,14226,CAT-D,38685744
959123170,Leggett & Platt Inc,Furniture & Fixtures,34825,CAT-B,38685745
959123171,Nordson Corp,Machinery,38899,CAT-B,38685746
959123172,Seneca Foods Corp,Food,44484,CAT-A,38685747
959123173,Kronos Worldwide Inc,Chemicals,23424,CAT-C,38685748
959123174,Crown Holdings Inc,Fabricated Metal Products,43375,CAT-A,38685749
959123175,Honeywell International Inc,Miscellaneous,1902,CAT-F,38685750
959123176,AbbVie Inc,Pharmaceuticals,21687,CAT-C,38685751
959123177,Chemours Co,Chemicals,10955,CAT-D,38685752
959123178,CF Industries Holdings Inc,Chemicals,41154,CAT-A,38685753
959123179,Southwest Gas Corporation,Petroleum & Coal Products,40218,CAT-A,38685754
959123180,Harsco Corp,Fabricated Metal Products,48799,CAT-A,38685755
959123181,Cooper Companies Inc,Medical Instruments & Equipment,4809,CAT-F,38685756
959123182,Energizer Holdings Inc,Electrical Equipment & Appliances,40383,CAT-A,38685757
959123183,Motorola Solutions Inc,Communications Equipment,10954,CAT-D,38685758
959123184,Plexus Corp,Computers & Other Electronic Products,5710,CAT-E,38685759
959123185,Cree Inc,Computers & Other Electronic Products,29207,CAT-C,38685760
959123186,Lancaster Colony Corp,Food,14801,CAT-D,38685761
959123187,Darling Ingredients Inc,Food,49335,CAT-A,38685762
959123188,SunPower Corp,Electrical Equipment & Appliances,39217,CAT-B,38685763
959123189,Hubbell Inc,Electrical Equipment & Appliances,30132,CAT-B,38685764
959123190,Hubbell Inc,Electrical Equipment & Appliances,30132,CAT-B,38685765
959123191,BorgWarner Inc,Motor Vehicle Parts,14128,CAT-D,38685766
959123192,Occidental Petroleum Corp,Petroleum & Coal Products,40266,CAT-A,38685767
959123193,Plexus Corp,Computers & Other Electronic Products,5710,CAT-E,38685768
959123194,Marathon Petroleum Corp,Petroleum & Coal Products,49709,CAT-A,38685769
959123195,Fortinet Inc,Computers & Other Electronic Products,14188,CAT-D,38685770
959123196,SPX Flow Inc,Machinery,11538,CAT-D,38685771
959123197,Sealed Air Corp,Plastics,46863,CAT-A,38685772
959123198,Xerox Corp,Machinery,7149,CAT-E,38685773
959123199,Targa Resources Corp,Petroleum & Coal Products,1446,CAT-F,38685774
959123200,Lam Research Corp,Computers & Other Electronic Products,44474,CAT-A,38685775
959123201,Philip Morris International Inc,Tobacco,5153,CAT-E,38685776
959123202,Tupperware Brands Corp,Plastics,1900,CAT-F,38685777
959123203,Kaiser Aluminum Corp,Fabricated Metal Products,49918,CAT-A,38685778
959123204,AVX Corp,Computers & Other Electronic Products,7669,CAT-E,38685779
959123205,Global Brass & Copper Holdings Inc,Fabricated Metal Products,24058,CAT-C,38685780
959123206,Ball Corp,Fabricated Metal Products,3416,CAT-F,38685781
959123207,Milacron Holdings Corp,Machinery,17144,CAT-D,38685782
959123208,SPX Corp,Machinery,9797,CAT-E,38685783
959123209,Diebold Inc,Electrical Equipment & Appliances,23958,CAT-C,38685784
959123210,Rexnord Corp,Machinery,43373,CAT-A,38685785
959123211,Under Armour Inc,Apparel,34417,CAT-B,38685786
959123212,Trimble Navigation Ltd,Computers & Other Electronic Products,11679,CAT-D,38685787
959123213,Pacific Ethanol Inc,Chemicals,34122,CAT-B,38685788
959123214,John Bean Technologies Corp,Electrical Equipment & Appliances,13793,CAT-D,38685789
959123215,Boeing Co,Aerospace & Defense,12955,CAT-D,38685790
959123216,Caterpillar Inc,Machinery,46603,CAT-A,38685791
959123217,Rockwell Automation Inc,Electrical Equipment & Appliances,21418,CAT-C,38685792
959123218,Zimmer Biomet Holdings Inc,Medical Instruments & Equipment,17555,CAT-D,38685793
959123219,Cooper Tire & Rubber Co,Rubber Products,46779,CAT-A,38685794
959123220,Reliance Steel & Aluminum Co,Primary Metals,43988,CAT-A,38685795
959123221,Coty Inc,Chemicals,8127,CAT-E,38685796
959123222,Federal-Mogul Corp,Motor Vehicle Parts,14544,CAT-D,38685797
959123223,Manitowoc Foodservice Inc,Electrical Equipment & Appliances,35028,CAT-B,38685798
959123224,Generac Holdings Inc,Machinery,24633,CAT-C,38685799
959123225,Allegheny Technologies Inc,Computers & Other Electronic Products,17291,CAT-D,38685800
959123226,Williams Cos Inc,Petroleum & Coal Products,49549,CAT-A,38685801
959123227,G-III Apparel Group Ltd,Apparel,24974,CAT-C,38685802
959123228,Northrop Grumman Corp,Aerospace & Defense,27073,CAT-C,38685803
959123229,Tronox Ltd,Chemicals,40897,CAT-A,38685804
959123230,Lear Corp,Motor Vehicle Parts,3447,CAT-F,38685805
959123231,Tronox Ltd,Chemicals,40897,CAT-A,38685806
959123232,Woodward Governor Co,Electrical Equipment & Appliances,2610,CAT-F,38685807
959123233,Rockwell Automation Inc,Electrical Equipment & Appliances,21418,CAT-C,38685808
959123234,Int'l Flavors & Fragrances Inc,Chemicals,24198,CAT-C,38685809
959123235,Reynolds American Inc,Tobacco,36358,CAT-B,38685810
959123236,Alliance One International Inc,Tobacco,36264,CAT-B,38685811
959123237,American Axle & Mfg Holdings Inc,Motor Vehicle Parts,26440,CAT-C,38685812
959123238,Constellation Brands Inc,Beverages,42807,CAT-A,38685813
959123239,Thor Industries Inc,Motor Vehicles,6130,CAT-E,38685814
959123240,Fitbit Inc,Computers & Other Electronic Products,45929,CAT-A,38685815
959123241,Snap-On Inc,Instruments,1036,CAT-F,38685816
959123242,WhiteWave Foods Co,Food,7609,CAT-E,38685817
959123243,AdvanSix Inc,Plastics,28107,CAT-C,38685818
959123244,Monster Beverage Corp,Beverages,14171,CAT-D,38685819
959123245,Sherwin-Williams Co,Chemicals,39052,CAT-B,38685820
959123246,General Dynamics Corp,"Railcars, Ships, & Other Trans Equip",6685,CAT-E,38685821
959123247,Central Garden & Pet Co,Chemicals,29878,CAT-C,38685822
959123248,Eli Lilly & Co,Pharmaceuticals,28210,CAT-C,38685823
959123249,Hillenbrand Inc,Wood Products,42132,CAT-A,38685824
959123250,Dana Inc,Motor Vehicle Parts,49690,CAT-A,38685825
959123251,Micron Technology Inc,Computers & Other Electronic Products,41512,CAT-A,38685826
959123252,TreeHouse Foods Inc,Food,33048,CAT-B,38685827
959123253,FMC Corp,Chemicals,17729,CAT-D,38685828
959123254,Ball Corp,Fabricated Metal Products,3416,CAT-F,38685829
959123255,AGCO Corp,Machinery,16790,CAT-D,38685830
959123256,Carlisle Cos Inc,Miscellaneous,30270,CAT-B,38685831
959123257,Vulcan Materials Co,"Stone, Clay, Glass & Concrete Products",23726,CAT-C,38685832
959123258,Colfax Corp,Machinery,41504,CAT-A,38685833
959123259,SunPower Corp,Electrical Equipment & Appliances,39217,CAT-B,38685834
959123260,Post Holdings Inc,Food,44869,CAT-A,38685835
959123261,Koppers Holdings Inc,Chemicals,2196,CAT-F,38685836
959123262,Teradyne Inc,Instruments,2537,CAT-F,38685837
959123263,Valhi Inc,Chemicals,32423,CAT-B,38685838
959123264,Watts Water Technologies Inc,Machinery,43214,CAT-A,38685839
959123265,Global Brass & Copper Holdings Inc,Fabricated Metal Products,24058,CAT-C,38685840
959123266,Synaptics Inc,Computers & Other Electronic Products,11397,CAT-D,38685841
959123267,HollyFrontier Corp,Petroleum & Coal Products,43961,CAT-A,38685842
959123268,Intel Corp,Computers & Other Electronic Products,40870,CAT-A,38685843
959123269,PPG Industries Inc,Chemicals,4831,CAT-F,38685844
959123270,Tronox Ltd,Chemicals,40897,CAT-A,38685845
959123271,Wesco International Inc,Electrical Equipment & Appliances,26706,CAT-C,38685846
959123272,Jabil Circuit Inc,Computers & Other Electronic Products,4306,CAT-F,38685847
959123273,Mead Johnson Nutrition Co,Beverages,33137,CAT-B,38685848
959123274,CVR Energy Inc,Petroleum & Coal Products,49856,CAT-A,38685849
959123275,W R Grace & Co,Chemicals,30884,CAT-B,38685850
959123276,Avery Dennison Corp,Paper,15653,CAT-D,38685851
959123277,AK Steel Holding Corp,Primary Metals,22072,CAT-C,38685852
959123278,Domtar Corp,Paper,24887,CAT-C,38685853
959123279,Stepan Co,Chemicals,25932,CAT-C,38685854
959123280,Platform Specialty Products Corp,Chemicals,23782,CAT-C,38685855
959123281,Alcoa Corp,Fabricated Metal Products,14337,CAT-D,38685856
959123282,Agilent Technologies Inc,Instruments,33048,CAT-B,38685857
959123283,Cree Inc,Computers & Other Electronic Products,29207,CAT-C,38685858
959123284,Sherwin-Williams Co,Chemicals,39052,CAT-B,38685859
959123285,Monster Beverage Corp,Beverages,14171,CAT-D,38685860
959123286,John Bean Technologies Corp,Electrical Equipment & Appliances,13793,CAT-D,38685861
959123287,Central Garden & Pet Co,Chemicals,29878,CAT-C,38685862
959123288,Valero Energy Corp,Petroleum & Coal Products,14801,CAT-D,38685863
959123289,Armstrong Flooring Inc,Plastics,23413,CAT-C,38685864
959123290,KapStone,Paper & Packaging Corp Paper,4882,CAT-F,38685865
959123291,Weyerhaeuser Co,Wood Products,15545,CAT-D,38685866
959123292,QEP Resources Inc,Petroleum & Coal Products,23989,CAT-C,38685867
959123293,Cree Inc,Computers & Other Electronic Products,29207,CAT-C,38685868
959123294,Kennametal Inc,Machinery,35330,CAT-B,38685869
959123295,Middleby Corp,Electrical Equipment & Appliances,19630,CAT-D,38685870
959123296,PPG Industries Inc,Chemicals,4831,CAT-F,38685871
959123297,Illumina Inc,Medical Instruments & Equipment,37475,CAT-B,38685872
959123298,Scholastic Corp,Publishing & Printing,6093,CAT-E,38685873
959123299,Gilead Sciences Inc,Pharmaceuticals,48522,CAT-A,38685874
959123300,Noble Energy Inc,Petroleum & Coal Products,916,CAT-G,38685875
959123301,Stryker Corp,Medical Instruments & Equipment,33648,CAT-B,38685876
959123302,NCI Building Systems Inc,Fabricated Metal Products,5866,CAT-E,38685877
959123303,NU Skin Enterprises Inc,Pharmaceuticals,29458,CAT-C,38685878
959123304,AptarGroup Inc,Plastics,31641,CAT-B,38685879
959123305,Valmont Industries Inc,Miscellaneous,23366,CAT-C,38685880
959123306,Mosaic Co,Chemicals,16537,CAT-D,38685881
959123307,United Therapeutics Corp,Pharmaceuticals,31067,CAT-B,38685882
959123308,Constellation Brands Inc,Beverages,42807,CAT-A,38685883
959123309,Dover Corp,Machinery,34655,CAT-B,38685884
959123310,Owens Corning,"Stone, Clay, Glass & Concrete Products",23323,CAT-C,38685885
959123311,La-Z-Boy Inc,Furniture & Fixtures,11041,CAT-D,38685886
959123312,Metaldyne Performance Group Inc,Motor Vehicle Parts,34211,CAT-B,38685887
959123313,Pinnacle Foods Inc,Food,10539,CAT-D,38685888
959123314,Coca-Cola Co,Beverages,19652,CAT-D,38685889
959123315,HNI Corp,Furniture & Fixtures,32440,CAT-B,38685890
959123316,Mosaic Co,Chemicals,16537,CAT-D,38685891
959123317,Pinnacle Foods Inc,Food,10539,CAT-D,38685892
959123318,Graco Inc,Machinery,33119,CAT-B,38685893
959123319,Esterline Technologies Corp,Machinery,13861,CAT-D,38685894
959123320,Donaldson Co Inc,Machinery,7325,CAT-E,38685895
959123321,PH Glatfelter Co,Paper,4265,CAT-F,38685896
959123322,NetApp Inc,Computers & Other Electronic Products,12198,CAT-D,38685897
959123323,S&P Global Inc,Publishing & Printing,32197,CAT-B,38685898
959123324,Drew Industries Inc,Motor Vehicle Parts,44372,CAT-A,38685899
959123325,EQT Corp,Petroleum & Coal Products,16499,CAT-D,38685900
959123326,J M Smucker Co,Food,38875,CAT-B,38685901
959123327,Teledyne Technologies Inc,Computers & Other Electronic Products,40310,CAT-A,38685902
959123328,Apache Corp,Petroleum & Coal Products,25594,CAT-C,38685903
959123329,Graphic Packaging Holding Co,Paper,33858,CAT-B,38685904
959123330,Lockheed Martin Corp,Aerospace & Defense,45966,CAT-A,38685905
959123331,Microsoft Corp,Computers & Other Electronic Products,31292,CAT-B,38685906
959123332,Leggett & Platt Inc,Furniture & Fixtures,34825,CAT-B,38685907
959123333,Vulcan Materials Co,"Stone, Clay, Glass & Concrete Products",23726,CAT-C,38685908
959123334,VF Corp,Apparel,26991,CAT-C,38685909
959123335,SM Energy Co,Petroleum & Coal Products,7967,CAT-E,38685910
959123336,MPM Holdings Inc,Chemicals,25927,CAT-C,38685911
959123337,Zoetis Inc,Pharmaceuticals,47113,CAT-A,38685912
959123338,Flowers Foods Inc,Food,49227,CAT-A,38685913
959123339,Ciena Corp,Communications Equipment,15494,CAT-D,38685914
959123340,Bristol-Myers Squibb Co,Pharmaceuticals,29273,CAT-C,38685915
959123341,Mohawk Industries Inc,Textiles,34096,CAT-B,38685916
959123342,Apache Corp,Petroleum & Coal Products,25594,CAT-C,38685917
959123343,Steelcase Inc,Furniture & Fixtures,33919,CAT-B,38685918
959123344,Ciena Corp,Communications Equipment,15494,CAT-D,38685919
959123345,Tenneco Inc,Motor Vehicle Parts,40706,CAT-A,38685920
959123346,KLA-Tencor Corp,Computers & Other Electronic Products,47518,CAT-A,38685921
959123347,EOG Resources Inc,Petroleum & Coal Products,18319,CAT-D,38685922
959123348,Kennametal Inc,Machinery,35330,CAT-B,38685923
959123349,Kaiser Aluminum Corp,Fabricated Metal Products,49918,CAT-A,38685924
959123350,Eli Lilly & Co,Pharmaceuticals,28210,CAT-C,38685925
959123351,Century Aluminum Co,Fabricated Metal Products,2592,CAT-F,38685926
959123352,Sherwin-Williams Co,Chemicals,39052,CAT-B,38685927
959123353,Universal Forest Products Inc,Wood Products,13500,CAT-D,38685928
959123354,Jabil Circuit Inc,Computers & Other Electronic Products,4306,CAT-F,38685929
959123355,Cooper Companies Inc,Medical Instruments & Equipment,4809,CAT-F,38685930
959123356,Bristol-Myers Squibb Co,Pharmaceuticals,29273,CAT-C,38685931
959123357,Tenneco Inc,Motor Vehicle Parts,40706,CAT-A,38685932
959123358,R R Donnelley & Sons Co,Publishing & Printing,38882,CAT-B,38685933
959123359,Carter's Inc,Apparel,5563,CAT-E,38685934
959123360,Harris Corp,Communications Equipment,23205,CAT-C,38685935
959123361,Targa Resources Corp,Petroleum & Coal Products,1446,CAT-F,38685936
959123362,Spectra Energy Corp Inc,Petroleum & Coal Products,42464,CAT-A,38685937
959123363,ITT Inc,Machinery,47720,CAT-A,38685938
959123364,Valspar Corp,Chemicals,16358,CAT-D,38685939
959123365,Microsoft Corp,Computers & Other Electronic Products,31292,CAT-B,38685940
959123366,Cooper Tire & Rubber Co,Rubber Products,46779,CAT-A,38685941
959123367,Analog Devices Inc,Computers & Other Electronic Products,30622,CAT-B,38685942
959123368,Twenty-First Century Fox Inc,Publishing & Printing,44974,CAT-A,38685943
959123369,AdvanSix Inc,Plastics,28107,CAT-C,38685944
959123370,Pinnacle Foods Inc,Food,10539,CAT-D,38685945
959123371,Crown Holdings Inc,Fabricated Metal Products,43375,CAT-A,38685946
959123372,C R Bard Inc,Medical Instruments & Equipment,28485,CAT-C,38685947
959123373,"Wilson Greatbatch Technologies, Inc",Electrical Equipment & Appliances,6155,CAT-E,38685948
959123374,General Electric Co,Electrical Equipment & Appliances,4633,CAT-F,38685949
959123375,SPX Flow Inc,Machinery,11538,CAT-D,38685950
959123376,National Fuel Gas Co,Petroleum & Coal Products,4028,CAT-F,38685951
959123377,Bio-Rad Laboratories Inc,Medical Instruments & Equipment,25197,CAT-C,38685952
959123378,Mead Johnson Nutrition Co,Beverages,33137,CAT-B,38685953
959123379,Deckers Outdoor Corp,Apparel,26535,CAT-C,38685954
959123380,Generac Holdings Inc,Machinery,24633,CAT-C,38685955
959123381,Kennametal Inc,Machinery,35330,CAT-B,38685956
959123382,Estee Lauder Cos Inc,Chemicals,21445,CAT-C,38685957
959123383,Calumet Specialty Products Partners LP,Petroleum & Coal Products,36934,CAT-B,38685958
959123384,PBF Energy Inc,Petroleum & Coal Products,19883,CAT-D,38685959
959123385,Renewable Energy Group Inc,Petroleum & Coal Products,41548,CAT-A,38685960
959123386,Brown-Forman Corp,Beverages,12496,CAT-D,38685961
959123387,ConocoPhillips,Petroleum & Coal Products,24840,CAT-C,38685962
959123388,TreeHouse Foods Inc,Food,33048,CAT-B,38685963
959123389,Steelcase Inc,Furniture & Fixtures,33919,CAT-B,38685964
959123390,Skyworks Solutions Inc,Computers & Other Electronic Products,42053,CAT-A,38685965
959123391,Armstrong World Industries Inc,Rubber Products,16244,CAT-D,38685966
959123392,Constellation Brands Inc,Beverages,42807,CAT-A,38685967
959123393,Masco Corp,Furniture & Fixtures,47464,CAT-A,38685968
959123394,Wolverine World Wide Inc,Apparel,44523,CAT-A,38685969
959123395,Finisar Corp,Computers & Other Electronic Products,29068,CAT-C,38685970
959123396,Church & Dwight Co Inc,Chemicals,3965,CAT-F,38685971
959123397,PepsiCo Inc,Beverages,7841,CAT-E,38685972
959123398,Bio-Rad Laboratories Inc,Medical Instruments & Equipment,25197,CAT-C,38685973
959123399,GCP Applied Technologies Inc,Chemicals,16873,CAT-D,38685974
959123400,Eastman Kodak Co,Chemicals,2892,CAT-F,38685975
959123401,EnPro Industries Inc,Motor Vehicle Parts,47382,CAT-A,38685976
959123402,Huntington Ingalls Industries Inc,"Railcars, Ships, & Other Trans Equip",39597,CAT-B,38685977
959123403,eXegenics Inc (United States),Pharmaceuticals,29303,CAT-C,38685978
959123404,Trinity Industries Inc,"Railcars, Ships, & Other Trans Equip",34189,CAT-B,38685979
